num_critic_for_reviews,duration,actor_3_fb_likes,actor_1_fb_likes,num_voted_users,cast_total_fb_likes,facenumber_in_poster,num_user_for_reviews,actor_2_fb_likes,imdb_score,movie_fb_likes
248.0,110.0,103.0,11000.0,42372,21175,2.0,239.0,10000.0,6.6,29000
284.0,150.0,82.0,1000.0,286506,1317,5.0,1463.0,190.0,6.9,0
396.0,144.0,1000.0,34000.0,148379,49684,6.0,622.0,13000.0,7.3,54000
645.0,152.0,11000.0,23000.0,1676169,57802,0.0,4667.0,13000.0,9.0,37000
408.0,96.0,262.0,1000.0,665575,2635,1.0,704.0,848.0,8.3,27000
219.0,94.0,459.0,1000.0,114553,2579,2.0,187.0,973.0,6.5,0
486.0,126.0,4000.0,21000.0,696338,39252,3.0,1055.0,12000.0,7.9,10000
682.0,126.0,1000.0,17000.0,245333,36017,0.0,678.0,16000.0,7.5,42000
85.0,106.0,582.0,10000.0,129601,15870,2.0,648.0,4000.0,4.8,0
264.0,112.0,595.0,5000.0,117927,9131,2.0,501.0,3000.0,5.2,0
418.0,123.0,329.0,10000.0,118992,11287,8.0,971.0,336.0,6.9,80000
186.0,96.0,7000.0,87000.0,115099,108016,0.0,257.0,11000.0,5.4,2000
585.0,113.0,509.0,10000.0,431620,12652,1.0,741.0,854.0,7.9,77000
91.0,176.0,60.0,711.0,144337,1004,0.0,309.0,60.0,6.1,0
250.0,118.0,570.0,23000.0,174578,26683,4.0,534.0,2000.0,5.8,0
536.0,95.0,384.0,1000.0,345198,2944,1.0,773.0,767.0,8.3,118000
370.0,106.0,591.0,19000.0,106072,32921,0.0,398.0,13000.0,7.8,65000
453.0,124.0,4000.0,21000.0,522371,48638,4.0,723.0,19000.0,7.0,18000
416.0,132.0,11000.0,26000.0,228554,72881,0.0,710.0,17000.0,6.1,53000
401.0,97.0,846.0,11000.0,252257,15516,2.0,634.0,2000.0,7.0,89000
521.0,130.0,884.0,10000.0,317542,14363,0.0,620.0,2000.0,7.6,45000
10.0,109.0,283.0,622.0,2138,1982,3.0,15.0,525.0,4.5,677
218.0,128.0,982.0,18000.0,116994,20965,2.0,324.0,1000.0,6.3,35000
576.0,136.0,2000.0,19000.0,496749,36188,1.0,742.0,11000.0,7.8,55000
226.0,93.0,213.0,4000.0,138661,4628,2.0,173.0,225.0,6.4,0
443.0,130.0,604.0,2000.0,128306,5046,2.0,497.0,638.0,6.5,37000
384.0,102.0,562.0,756.0,279093,2963,0.0,433.0,719.0,7.9,41000
377.0,101.0,833.0,975.0,272534,4451,1.0,345.0,931.0,7.8,40000
188.0,100.0,267.0,15000.0,120798,16264,0.0,444.0,726.0,6.6,10000
286.0,120.0,535.0,890.0,58137,3233,0.0,520.0,812.0,5.5,67000
288.0,98.0,759.0,18000.0,485430,20453,0.0,492.0,953.0,8.2,33000
280.0,109.0,191.0,648.0,305340,1769,0.0,1676.0,284.0,6.4,0
653.0,121.0,3000.0,14000.0,682155,32438,3.0,1097.0,14000.0,8.1,96000
712.0,169.0,6000.0,11000.0,928227,31488,1.0,2725.0,11000.0,8.6,349000
642.0,148.0,23000.0,29000.0,1468200,81115,0.0,2803.0,27000.0,8.8,175000
1.0,120.0,12.0,544.0,374,699,0.0,13.0,106.0,8.2,0
187.0,106.0,4000.0,23000.0,272223,45327,2.0,988.0,14000.0,6.7,14000
362.0,166.0,919.0,11000.0,459346,13333,2.0,822.0,1000.0,7.8,23000
500.0,132.0,1000.0,34000.0,518537,50983,3.0,698.0,13000.0,7.8,54000
389.0,137.0,14000.0,34000.0,166137,81385,1.0,383.0,22000.0,6.6,38000
235.0,109.0,370.0,12000.0,124185,13388,0.0,238.0,418.0,6.1,11000
231.0,98.0,702.0,87000.0,82380,92456,0.0,629.0,2000.0,5.6,0
218.0,113.0,11000.0,40000.0,21352,80806,1.0,131.0,25000.0,6.4,30000
227.0,93.0,692.0,3000.0,211971,4705,2.0,326.0,795.0,6.1,0
275.0,123.0,648.0,3000.0,111609,5505,0.0,781.0,716.0,7.3,89000
474.0,126.0,2000.0,24000.0,188457,38873,2.0,867.0,10000.0,6.6,82000
228.0,113.0,59.0,531.0,106446,764,4.0,227.0,82.0,6.3,11000
191.0,184.0,691.0,3000.0,254111,5401,0.0,1999.0,961.0,6.1,0
396.0,144.0,581.0,662.0,513158,2333,0.0,1782.0,599.0,7.1,8000
248.0,206.0,591.0,12000.0,138863,24598,3.0,1390.0,11000.0,5.5,0
329.0,138.0,687.0,21000.0,355137,33433,3.0,1108.0,11000.0,7.5,0
295.0,157.0,10000.0,21000.0,385670,53413,1.0,1896.0,11000.0,7.6,0
318.0,102.0,979.0,10000.0,343648,21584,0.0,590.0,9000.0,6.4,0
323.0,104.0,558.0,10000.0,530870,13076,0.0,1413.0,1000.0,7.2,11000
276.0,115.0,588.0,40000.0,320284,57844,3.0,1361.0,16000.0,6.7,0
318.0,111.0,954.0,1000.0,473887,4764,0.0,626.0,1000.0,8.0,10000
478.0,128.0,11000.0,23000.0,980946,59558,0.0,2685.0,14000.0,8.3,15000
167.0,89.0,436.0,1000.0,146019,3285,0.0,119.0,851.0,6.7,0
185.0,105.0,1000.0,49000.0,130272,54039,2.0,209.0,3000.0,5.9,2000
350.0,119.0,2000.0,20000.0,361924,40054,0.0,641.0,16000.0,6.7,0
245.0,129.0,233.0,309.0,364948,1062,0.0,2121.0,269.0,6.7,0
406.0,102.0,490.0,1000.0,421658,2582,0.0,904.0,523.0,7.6,58000
275.0,138.0,30.0,234.0,421818,534,0.0,2789.0,198.0,7.2,0
486.0,112.0,12000.0,26000.0,414070,59803,3.0,532.0,20000.0,7.1,63000
739.0,120.0,943.0,27000.0,552503,40025,0.0,1588.0,9000.0,8.1,191000
298.0,146.0,294.0,15000.0,207839,16948,2.0,435.0,745.0,6.7,0
516.0,115.0,12000.0,26000.0,536314,60059,1.0,738.0,20000.0,7.0,63000
225.0,96.0,699.0,17000.0,146766,20007,0.0,178.0,759.0,6.9,0
145.0,88.0,182.0,730.0,33042,2217,0.0,90.0,607.0,5.1,0
310.0,99.0,502.0,14000.0,152826,16184,0.0,253.0,897.0,5.8,19000
526.0,113.0,16000.0,40000.0,199039,80849,7.0,479.0,17000.0,6.2,82000
465.0,131.0,641.0,10000.0,232187,21840,0.0,440.0,10000.0,7.4,47000
357.0,119.0,162.0,12000.0,89442,13071,0.0,432.0,490.0,5.8,0
248.0,110.0,103.0,11000.0,42372,21175,2.0,239.0,10000.0,6.6,29000
194.0,91.0,826.0,2000.0,105902,6576,0.0,206.0,852.0,6.2,0
284.0,90.0,15.0,11000.0,182718,21015,0.0,209.0,10000.0,7.3,20000
280.0,103.0,346.0,1000.0,118951,2857,0.0,1382.0,756.0,4.2,18000
310.0,124.0,979.0,22000.0,256695,34817,0.0,871.0,10000.0,6.9,0
339.0,131.0,256.0,17000.0,164238,18204,2.0,434.0,551.0,6.4,33000
132.0,88.0,433.0,921.0,17590,2652,0.0,112.0,562.0,5.4,0
135.0,85.0,586.0,20000.0,85086,35161,0.0,122.0,14000.0,6.7,0
256.0,111.0,394.0,20000.0,39956,21393,4.0,186.0,548.0,5.8,24000
196.0,92.0,517.0,3000.0,47900,5810,2.0,130.0,1000.0,6.9,11000
220.0,196.0,844.0,11000.0,381672,17944,2.0,1694.0,5000.0,7.2,0
211.0,93.0,436.0,851.0,119213,2444,0.0,154.0,770.0,6.9,17000
264.0,133.0,746.0,769.0,169914,2538,0.0,1185.0,766.0,6.1,0
464.0,116.0,322.0,783.0,69757,2097,4.0,1211.0,370.0,5.5,62000
167.0,153.0,537.0,13000.0,322395,26029,0.0,1171.0,12000.0,6.6,11000
208.0,88.0,826.0,10000.0,270207,14823,2.0,606.0,3000.0,6.1,2000
287.0,115.0,964.0,18000.0,142440,31523,1.0,505.0,12000.0,6.3,3000
210.0,95.0,967.0,24000.0,64322,36095,0.0,145.0,11000.0,7.2,24000
432.0,133.0,690.0,10000.0,365104,21768,3.0,512.0,10000.0,7.4,35000
256.0,97.0,161.0,20000.0,123553,20645,0.0,174.0,315.0,7.3,25000
135.0,90.0,233.0,957.0,110788,1997,1.0,258.0,550.0,6.1,2000
190.0,154.0,445.0,10000.0,317166,11945,1.0,928.0,956.0,7.7,0
314.0,150.0,748.0,23000.0,128682,26490,0.0,657.0,893.0,6.1,51000
518.0,127.0,981.0,26000.0,504419,39284,0.0,1559.0,12000.0,8.0,19000
291.0,121.0,4000.0,24000.0,544665,40484,0.0,2012.0,11000.0,7.3,5000
292.0,102.0,953.0,18000.0,221128,23378,5.0,343.0,3000.0,7.9,46000
184.0,126.0,284.0,18000.0,51892,19769,4.0,273.0,934.0,5.5,24000
145.0,121.0,653.0,820.0,45455,2705,0.0,388.0,780.0,5.0,0
451.0,215.0,413.0,986.0,392474,2530,1.0,1229.0,745.0,7.7,18000
141.0,127.0,91.0,5000.0,127497,6171,2.0,287.0,808.0,6.6,0
267.0,138.0,258.0,820.0,212106,1814,0.0,1445.0,300.0,5.7,0
351.0,122.0,934.0,17000.0,146352,31958,6.0,288.0,12000.0,5.8,42000
163.0,124.0,848.0,11000.0,77673,13073,3.0,463.0,973.0,6.0,0
166.0,106.0,422.0,12000.0,72259,15015,1.0,788.0,2000.0,6.4,0
510.0,124.0,2000.0,11000.0,508818,19761,0.0,679.0,3000.0,6.9,46000
197.0,128.0,244.0,766.0,157519,2037,2.0,683.0,536.0,6.4,2000
244.0,138.0,168.0,613.0,168207,1205,1.0,684.0,172.0,7.4,0
322.0,115.0,12000.0,21000.0,185394,59177,3.0,329.0,17000.0,5.5,65000
156.0,100.0,988.0,49000.0,32399,62644,0.0,79.0,11000.0,5.9,0
354.0,135.0,882.0,3000.0,326286,5811,0.0,643.0,1000.0,6.8,0
21.0,60.0,184.0,982.0,16769,1687,2.0,74.0,321.0,7.5,0
252.0,117.0,358.0,535.0,12572,1950,0.0,106.0,400.0,6.8,27000
556.0,156.0,733.0,29000.0,406020,57108,0.0,1188.0,27000.0,8.1,190000
166.0,96.0,463.0,16000.0,62424,17416,0.0,90.0,881.0,6.5,13000
362.0,107.0,939.0,40000.0,183208,43291,0.0,337.0,1000.0,7.2,26000
153.0,92.0,179.0,19000.0,60230,19963,0.0,118.0,411.0,6.7,11000
329.0,115.0,883.0,13000.0,491077,17369,0.0,820.0,897.0,8.1,0
266.0,92.0,562.0,11000.0,307029,12754,0.0,360.0,967.0,7.6,6000
517.0,117.0,680.0,2000.0,313866,5730,6.0,549.0,2000.0,7.4,61000
502.0,146.0,523.0,34000.0,498397,49355,1.0,706.0,14000.0,7.6,82000
322.0,115.0,12000.0,21000.0,185394,59177,3.0,329.0,17000.0,5.5,65000
165.0,94.0,183.0,17000.0,70121,17883,0.0,214.0,523.0,6.7,26000
401.0,116.0,807.0,10000.0,334345,12758,0.0,2741.0,1000.0,6.5,0
94.0,147.0,877.0,10000.0,178126,12954,1.0,511.0,898.0,6.6,0
246.0,90.0,397.0,4000.0,114287,5046,0.0,137.0,442.0,6.7,16000
330.0,101.0,282.0,11000.0,245621,12406,1.0,514.0,702.0,6.4,23000
434.0,138.0,8000.0,12000.0,200022,32355,2.0,1240.0,9000.0,5.8,71000
440.0,107.0,845.0,2000.0,177383,4631,1.0,447.0,871.0,7.4,44000
274.0,142.0,10000.0,11000.0,382255,33284,3.0,1504.0,10000.0,7.8,11000
245.0,165.0,165.0,309.0,102338,921,0.0,450.0,284.0,6.6,0
349.0,100.0,894.0,10000.0,158720,14168,0.0,744.0,943.0,4.9,37000
145.0,82.0,388.0,1000.0,38438,2945,1.0,241.0,558.0,6.5,0
154.0,98.0,1000.0,49000.0,67223,53587,7.0,126.0,3000.0,6.2,11000
233.0,95.0,8000.0,24000.0,172754,46120,3.0,187.0,11000.0,7.3,13000
258.0,159.0,645.0,11000.0,444683,13191,4.0,1571.0,687.0,7.5,16000
208.0,96.0,1000.0,16000.0,91640,31549,2.0,210.0,12000.0,5.6,20000
1.0,120.0,12.0,544.0,374,699,0.0,13.0,106.0,8.2,0
271.0,143.0,1000.0,40000.0,809474,48184,3.0,2113.0,5000.0,8.1,10000
403.0,123.0,14000.0,34000.0,305008,81385,1.0,591.0,22000.0,6.7,52000
294.0,174.0,362.0,15000.0,314253,16008,2.0,1966.0,574.0,6.6,0
159.0,101.0,56.0,688.0,58498,1031,0.0,99.0,237.0,6.4,0
289.0,134.0,346.0,20000.0,405973,20952,4.0,1055.0,505.0,7.5,0
342.0,132.0,12000.0,23000.0,284792,55345,3.0,366.0,14000.0,7.3,54000
382.0,129.0,154.0,21000.0,338635,22403,2.0,412.0,979.0,7.5,39000
344.0,106.0,850.0,14000.0,229679,18003,0.0,637.0,1000.0,5.8,15000
196.0,113.0,217.0,605.0,240241,1441,0.0,391.0,308.0,7.5,0
85.0,102.0,241.0,845.0,101411,1815,1.0,546.0,372.0,6.6,0
436.0,135.0,602.0,10000.0,229823,12175,0.0,504.0,826.0,6.7,31000
183.0,125.0,409.0,920.0,189855,2699,3.0,1018.0,890.0,3.7,0
175.0,110.0,636.0,1000.0,141414,4146,0.0,482.0,722.0,6.0,0
239.0,124.0,812.0,15000.0,333248,20553,0.0,1159.0,2000.0,6.4,19000
237.0,123.0,653.0,10000.0,242188,11930,0.0,1426.0,794.0,6.1,0
231.0,130.0,461.0,784.0,133076,2684,0.0,779.0,638.0,6.4,0
262.0,92.0,702.0,11000.0,213275,15302,3.0,436.0,2000.0,5.6,0
552.0,127.0,341.0,774.0,440084,2121,0.0,755.0,358.0,8.0,122000
276.0,123.0,402.0,12000.0,182661,14017,1.0,681.0,701.0,5.2,0
267.0,123.0,265.0,13000.0,40123,13752,0.0,297.0,365.0,7.1,31000
102.0,107.0,1000.0,2000.0,100821,4046,0.0,554.0,1000.0,4.8,0
775.0,124.0,641.0,13000.0,456260,24098,0.0,2326.0,9000.0,7.0,97000
71.0,77.0,537.0,886.0,36471,2682,0.0,69.0,799.0,5.4,459
476.0,109.0,1000.0,13000.0,338087,17689,0.0,814.0,2000.0,6.6,61000
207.0,134.0,567.0,14000.0,183909,17159,0.0,666.0,850.0,6.7,0
492.0,117.0,1000.0,10000.0,182899,14161,0.0,630.0,2000.0,6.2,60000
284.0,135.0,87.0,690.0,57873,902,0.0,414.0,107.0,6.1,0
168.0,121.0,157.0,273.0,35066,993,4.0,196.0,216.0,5.3,0
283.0,117.0,877.0,10000.0,148280,12731,0.0,348.0,973.0,6.3,11000
539.0,124.0,1000.0,11000.0,387436,22004,0.0,892.0,10000.0,7.0,71000
359.0,140.0,4000.0,20000.0,520104,44042,4.0,3286.0,16000.0,7.6,10000
284.0,142.0,4000.0,20000.0,464310,42990,3.0,3516.0,16000.0,6.7,0
250.0,92.0,773.0,12000.0,585659,15013,0.0,593.0,1000.0,8.1,0
440.0,138.0,929.0,20000.0,328067,23755,1.0,533.0,992.0,6.7,68000
320.0,136.0,1000.0,20000.0,534658,37723,1.0,3597.0,14000.0,6.5,13000
257.0,98.0,12000.0,16000.0,150618,43286,3.0,195.0,15000.0,7.3,28000
33.0,116.0,141.0,936.0,20567,1609,1.0,36.0,276.0,5.1,291
152.0,153.0,617.0,12000.0,55994,15046,0.0,454.0,836.0,6.0,0
231.0,120.0,9000.0,26000.0,37750,46719,2.0,134.0,11000.0,6.1,16000
348.0,101.0,429.0,833.0,167085,2690,0.0,491.0,809.0,5.9,62000
738.0,91.0,13.0,39.0,582917,87,0.0,1885.0,23.0,7.8,147000
93.0,108.0,268.0,650.0,62271,1569,1.0,277.0,293.0,5.8,0
369.0,100.0,78.0,596.0,110486,1261,3.0,695.0,360.0,4.3,41000
179.0,108.0,1000.0,49000.0,234480,55486,2.0,444.0,3000.0,6.4,3000
358.0,114.0,884.0,12000.0,147497,16718,0.0,499.0,2000.0,6.1,52000
160.0,119.0,387.0,811.0,149680,2958,3.0,328.0,766.0,6.5,0
192.0,142.0,1000.0,13000.0,207613,19454,1.0,1144.0,2000.0,7.1,4000
198.0,125.0,350.0,11000.0,284852,19359,0.0,627.0,8000.0,6.4,0
233.0,126.0,322.0,11000.0,348861,22722,2.0,798.0,11000.0,6.5,0
263.0,119.0,1000.0,14000.0,154621,22622,0.0,258.0,5000.0,6.3,27000
267.0,170.0,827.0,29000.0,264318,34582,0.0,799.0,3000.0,7.5,0
184.0,85.0,116.0,480.0,53160,1173,1.0,121.0,392.0,4.9,0
447.0,119.0,741.0,11000.0,136019,13391,0.0,443.0,1000.0,5.8,14000
29.0,60.0,432.0,669.0,25402,1655,4.0,97.0,554.0,7.6,0
366.0,102.0,1000.0,6000.0,225273,10583,0.0,523.0,1000.0,6.2,71000
172.0,103.0,111.0,383.0,66593,692,3.0,153.0,113.0,5.5,31000
104.0,76.0,421.0,12000.0,13581,13607,0.0,88.0,513.0,5.4,304
181.0,120.0,943.0,6000.0,44296,12452,3.0,144.0,5000.0,5.8,12000
327.0,127.0,544.0,20000.0,254841,22254,1.0,426.0,929.0,7.1,36000
125.0,105.0,40.0,681.0,27257,914,3.0,59.0,71.0,5.4,0
79.0,121.0,202.0,673.0,60573,2027,0.0,248.0,368.0,3.7,894
326.0,114.0,430.0,11000.0,184561,12908,4.0,554.0,635.0,6.7,123000
354.0,129.0,297.0,13000.0,336235,13961,1.0,782.0,300.0,7.2,0
297.0,171.0,857.0,16000.0,1238746,22342,2.0,5060.0,5000.0,8.8,21000
188.0,120.0,447.0,1000.0,68720,3175,0.0,191.0,1000.0,5.8,0
174.0,165.0,780.0,10000.0,79186,14196,1.0,386.0,851.0,6.8,0
109.0,82.0,434.0,760.0,36033,2762,1.0,456.0,743.0,3.8,946
225.0,115.0,466.0,10000.0,387632,12068,1.0,789.0,981.0,7.1,0
239.0,194.0,195.0,14000.0,217373,19600,1.0,942.0,5000.0,7.2,0
101.0,84.0,692.0,979.0,94172,3382,0.0,179.0,886.0,5.9,0
228.0,97.0,525.0,852.0,89351,2480,0.0,214.0,578.0,7.1,5000
568.0,151.0,372.0,13000.0,472488,14831,1.0,1023.0,801.0,8.1,153000
257.0,136.0,3000.0,19000.0,263329,34839,1.0,899.0,12000.0,6.9,0
62.0,104.0,591.0,752.0,4102,3133,0.0,89.0,631.0,4.4,53
175.0,127.0,3000.0,12000.0,218341,29069,1.0,498.0,11000.0,6.5,0
265.0,171.0,695.0,3000.0,982637,6521,0.0,2368.0,933.0,8.5,21000
252.0,145.0,533.0,10000.0,399651,12546,0.0,1331.0,798.0,7.7,0
232.0,174.0,9000.0,11000.0,387616,35672,1.0,858.0,10000.0,7.4,0
400.0,144.0,834.0,6000.0,470483,9125,1.0,2301.0,1000.0,8.0,0
230.0,119.0,567.0,1000.0,177725,2776,0.0,1368.0,658.0,5.7,0
210.0,153.0,539.0,780.0,744891,2829,0.0,983.0,604.0,8.5,13000
357.0,140.0,1000.0,40000.0,230931,64599,1.0,585.0,23000.0,7.0,0
300.0,176.0,561.0,18000.0,324671,20354,0.0,458.0,782.0,7.8,0
94.0,141.0,618.0,2000.0,190439,4528,0.0,351.0,1000.0,7.2,0
267.0,106.0,385.0,18000.0,149998,19906,1.0,285.0,464.0,6.4,0
180.0,98.0,708.0,22000.0,85531,24082,10.0,152.0,713.0,5.5,0
265.0,116.0,107.0,12000.0,189806,20233,2.0,316.0,8000.0,6.7,16000
81.0,115.0,383.0,1000.0,84424,3454,1.0,131.0,773.0,6.1,0
765.0,165.0,265.0,29000.0,955174,40978,1.0,1193.0,11000.0,8.5,199000
80.0,91.0,542.0,2000.0,102933,4842,0.0,230.0,700.0,6.9,0
141.0,78.0,253.0,558.0,128285,2039,1.0,297.0,452.0,7.3,0
383.0,103.0,13000.0,26000.0,246803,57881,3.0,474.0,13000.0,6.7,108000
193.0,131.0,341.0,12000.0,255447,13679,0.0,692.0,625.0,6.9,0
170.0,104.0,203.0,3000.0,108076,4487,0.0,1690.0,762.0,5.1,0
333.0,101.0,279.0,925.0,87677,1738,0.0,388.0,468.0,6.8,11000
256.0,111.0,394.0,20000.0,39956,21393,4.0,186.0,548.0,5.8,24000
203.0,102.0,120.0,14000.0,85833,14552,2.0,113.0,151.0,6.7,17000
321.0,103.0,3000.0,40000.0,176598,55175,0.0,374.0,11000.0,6.0,25000
174.0,121.0,595.0,1000.0,89509,3903,0.0,524.0,1000.0,5.7,2000
166.0,143.0,452.0,29000.0,400292,33160,0.0,657.0,3000.0,8.0,14000
606.0,240.0,4000.0,29000.0,780588,46057,3.0,1138.0,11000.0,8.2,138000
144.0,121.0,680.0,920.0,190786,2880,4.0,539.0,710.0,5.4,0
192.0,129.0,423.0,660.0,221521,2031,0.0,1049.0,475.0,7.2,0
511.0,172.0,1000.0,15000.0,284825,22686,5.0,828.0,5000.0,7.5,124000
188.0,101.0,577.0,2000.0,65785,4286,1.0,160.0,653.0,7.0,16000
212.0,87.0,566.0,827.0,87451,3144,0.0,660.0,825.0,3.3,0
245.0,101.0,467.0,12000.0,115687,16235,0.0,269.0,3000.0,6.0,21000
127.0,95.0,720.0,23000.0,71527,26940,0.0,217.0,770.0,7.1,0
167.0,102.0,526.0,8000.0,52029,10552,1.0,224.0,735.0,5.4,0
320.0,131.0,11000.0,26000.0,127258,52610,15.0,351.0,13000.0,6.1,56000
163.0,114.0,848.0,1000.0,33953,3962,1.0,163.0,897.0,5.3,37000
78.0,94.0,227.0,490.0,40751,1195,0.0,239.0,294.0,2.2,881
289.0,122.0,571.0,26000.0,71782,28328,0.0,161.0,911.0,7.0,27000
66.0,95.0,683.0,3000.0,20295,6161,1.0,164.0,695.0,3.8,416
266.0,115.0,95.0,13000.0,110364,13761,1.0,261.0,537.0,6.9,0
208.0,88.0,36.0,144.0,27918,309,0.0,155.0,42.0,7.2,33000
97.0,110.0,393.0,623.0,18697,1722,0.0,263.0,508.0,7.3,578
202.0,130.0,591.0,12000.0,248045,15972,5.0,890.0,3000.0,6.3,0
233.0,216.0,1000.0,29000.0,314033,47657,3.0,1166.0,14000.0,7.5,0
136.0,146.0,28.0,23000.0,38690,23240,2.0,130.0,196.0,7.6,13000
154.0,85.0,970.0,12000.0,54077,25590,0.0,112.0,11000.0,6.8,0
